2025-05-27T16:44:29,,,,,,,,,,,,,,TOUCH_SLIDER_RESOLUTION,100,
Configurations(Methods):,,,,,,,,,,,,,,TOUCH_DECIMAL_POINT_PRECISION,100,
Name,Touch Interfaces,,,,,,,,,,,,,num_elements,5,
config01,"Slider00, TS15, TS14, TS13, TS12, TS01",,,,,,,,,,,,,resol_plus,400,
Logs:,,,,,,,,,,,,,d3=100+100*d2/d1,,rpos=100*100/d3+100*MaxCh,
config01:Slider00:Status,Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value,,ON,max_data_num,d1,d2,d3,dsum,slider_pos,POS
65535,940,100,11588,11548,11561,11494,11537,,0,0,27,40,248,67,40,1
65535,940,100,11597,11595,11579,11481,11543,,0,0,18,2,111,20,90,16
65535,940,100,11598,11592,11590,11470,11518,,0,0,8,6,175,14,57,3
65535,940,100,11599,11579,11601,11469,11528,,0,2,22,132,700,154,214,43
65535,940,100,11593,11573,11578,11484,11495,,0,0,15,20,233,35,43,1
65535,940,100,11598,11613,11596,11506,11530,,0,1,15,17,213,32,147,29
65535,940,100,11607,11600,11575,11531,11516,,0,0,32,7,122,39,82,13
65535,940,100,11603,11590,11574,11544,11514,,0,0,29,13,145,42,69,8
65535,940,100,11590,11577,11551,11557,11533,,0,0,39,13,133,52,75,10
65535,940,100,11582,11570,11566,11551,11538,,0,0,16,12,175,28,57,3
65535,940,100,11574,11559,11572,11547,11552,,0,0,2,15,850,17,12,1
65535,940,100,11579,11549,11581,11547,11526,,0,2,32,34,206,66,249,50
65535,940,100,11570,11538,11594,11550,11533,,0,2,56,44,179,100,256,51
65535,940,100,11572,11588,11601,11527,11559,,0,2,13,74,669,87,215,43
65535,940,100,11563,11584,11602,11545,11560,,0,2,18,57,417,75,224,45
65535,940,100,11564,11578,11619,11524,11574,,0,2,41,95,332,136,230,46
65535,940,100,11584,11575,11599,11516,11581,,0,2,24,83,446,107,222,44
65535,940,100,11589,11572,11604,11526,11586,,0,2,32,78,344,110,229,46
65535,940,100,11592,11571,11576,11535,11590,,0,0,16,21,231,37,43,1
65535,940,100,11591,11561,11577,11537,11582,,0,0,14,30,314,44,32,1
65535,940,100,11580,11552,11579,11537,11570,,0,0,1,28,2900,29,3,1
65535,940,100,11587,11550,11587,11548,11536,,0,0,0,37,3800,37,3,1
65535,940,100,11591,11555,11594,11542,11551,,0,2,39,52,233,91,243,49
65535,940,100,11609,11563,11596,11553,11564,,0,0,13,46,454,59,22,1
65535,940,100,11618,11561,11602,11553,11528,,0,0,16,57,456,73,22,1
65535,940,100,11613,11559,11602,11556,11549,,0,0,11,54,591,65,17,1
65535,940,100,11595,11559,11611,11541,11526,,0,2,52,70,235,122,243,49
65535,940,100,11592,11547,11577,11541,11533,,0,0,15,45,400,60,25,1
65535,940,100,11576,11541,11576,11539,11539,,0,0,0,35,3600,35,3,1
65535,940,100,11567,11552,11593,11554,11563,,0,2,41,39,195,80,251,50
65535,940,100,11590,11548,11591,11561,11585,,0,2,43,30,170,73,259,52
65535,940,100,11600,11553,11566,11571,11553,,0,0,34,47,238,81,42,1
65535,940,100,11599,11553,11587,11566,11553,,0,0,12,46,483,58,21,1
65535,940,100,11577,11560,11555,11579,11565,,0,3,24,14,158,38,363,73
65535,940,100,11579,11558,11535,11576,11575,,0,0,44,21,148,65,68,7
65535,940,100,11580,11561,11515,11572,11564,,0,0,65,19,129,84,78,11
65535,940,100,11588,11561,11510,11579,11578,,0,0,78,27,135,105,74,10
65535,940,100,11574,11570,11523,11550,11554,,0,0,51,4,108,55,93,17
65535,940,100,11570,11570,11521,11563,11562,,0,0,49,0,100,49,100,20
65535,940,100,11560,11566,11549,11533,11560,,0,1,6,17,383,23,126,25
65535,940,100,11545,11564,11529,11534,11561,,0,1,19,35,284,54,135,27
65535,940,100,11539,11557,11518,11536,11571,,0,4,35,53,251,88,440,96
65535,940,100,11533,11548,11525,11531,11536,,0,1,15,23,253,38,140,28
65535,940,100,11539,11551,11539,11551,11561,,0,4,10,22,320,32,431,92
65535,940,100,11556,11554,11552,11551,11570,,0,4,19,18,195,37,451,100
65535,940,100,11573,11555,11560,11520,11586,,0,4,66,26,139,92,472,100
65535,940,100,11575,11555,11531,11533,11590,,0,4,57,59,204,116,449,100
65535,940,100,11575,11561,11520,11542,11582,,0,4,40,62,255,102,439,96
65535,940,100,11577,11547,11550,11518,11580,,0,4,62,30,148,92,468,100
65535,940,100,11583,11586,11533,11503,11575,,0,1,3,53,1867,56,105,21
65535,940,100,11570,11563,11512,11491,11540,,0,0,58,7,112,65,89,16
65535,940,100,11578,11608,11501,11508,11546,,0,1,30,107,457,137,122,24
65535,940,100,11565,11599,11514,11522,11563,,0,1,34,85,350,119,129,26
65535,940,100,11561,11590,11533,11536,11572,,0,1,29,57,297,86,134,27
65535,940,100,11564,11576,11547,11508,11581,,0,4,73,34,147,107,468,100
65535,940,100,11569,11563,11560,11518,11574,,0,4,56,14,125,70,480,100
65535,940,100,11571,11553,11545,11496,11572,,0,4,76,27,136,103,474,100
65535,940,100,11564,11550,11526,11509,11533,,0,0,38,14,137,52,73,9
65535,940,100,11566,11549,11513,11515,11552,,0,0,53,17,132,70,76,10
65535,940,100,11564,11542,11529,11503,11518,,0,0,35,22,163,57,61,4
65535,940,100,11557,11540,11549,11509,11546,,0,0,8,17,313,25,32,1
65535,940,100,11577,11554,11558,11500,11528,,0,0,19,23,221,42,45,1
65535,940,100,11594,11548,11563,11533,11504,,0,0,31,46,248,77,40,1
65535,940,100,11582,11590,11569,11515,11521,,0,1,8,21,363,29,128,26
65535,940,100,11573,11578,11543,11514,11529,,0,1,5,35,800,40,113,23
65535,940,100,11558,11567,11549,11526,11530,,0,1,9,18,300,27,133,27
65535,940,100,11545,11552,11551,11530,11542,,0,1,7,1,114,8,188,38
65535,940,100,11563,11550,11570,11538,11555,,0,2,20,32,260,52,238,48
65535,940,100,11585,11543,11590,11539,11569,,0,2,47,51,209,98,248,50
65535,940,100,11582,11553,11591,11545,11572,,0,2,38,46,221,84,245,49
65535,940,100,11565,11564,11586,11518,11566,,0,2,22,68,409,90,224,45
65535,940,100,11570,11552,11591,11525,11562,,0,2,39,66,269,105,237,47
65535,940,100,11573,11546,11575,11495,11528,,0,2,29,80,376,109,227,45
65535,940,100,11562,11551,11586,11481,11542,,0,2,35,105,400,140,225,45
65535,940,100,11558,11544,11582,11493,11561,,0,2,38,89,334,127,230,46
65535,940,100,11573,11547,11579,11508,11566,,0,2,32,71,322,103,231,46
65535,940,100,11586,11547,11589,11529,11551,,0,2,42,60,243,102,241,48
65535,940,100,11593,11552,11564,11527,11531,,0,0,29,41,241,70,41,1
65535,940,100,11574,11542,11575,11527,11497,,0,2,33,48,245,81,241,48
65535,940,100,11580,11548,11584,11540,11512,,0,2,36,44,222,80,245,49
65535,940,100,11592,11542,11590,11543,11527,,0,0,2,50,2600,52,4,1
65535,940,100,11573,11537,11554,11510,11528,,0,0,19,36,289,55,35,1
65535,940,100,11578,11542,11530,11519,11570,,0,0,48,36,175,84,57,3
65535,940,100,11582,11549,11530,11529,11581,,0,0,52,33,163,85,61,4
65535,940,100,11586,11556,11553,11534,11582,,0,0,33,30,191,63,52,1
65535,940,100,11578,11553,11563,11547,11573,,0,0,15,25,267,40,37,1
65535,940,100,11589,11554,11570,11525,11561,,0,0,19,35,284,54,35,1
65535,940,100,11592,11594,11574,11540,11572,,0,1,2,20,1100,22,109,22
65535,940,100,11583,11587,11551,11539,11564,,0,1,4,36,1000,40,110,22
65535,940,100,11584,11575,11553,11538,11564,,0,0,31,9,129,40,78,11
65535,940,100,11570,11575,11568,11549,11582,,0,4,33,14,142,47,470,100
65535,940,100,11571,11580,11583,11519,11586,,0,4,67,3,104,70,496,100
65535,940,100,11585,11570,11597,11540,11584,,0,2,27,57,311,84,232,46
65535,940,100,11578,11554,11586,11539,11516,,0,2,32,47,247,79,240,48
65535,940,100,11595,11557,11584,11539,11527,,0,0,11,38,445,49,22,1
65535,940,100,11583,11553,11554,11507,11505,,0,0,29,30,203,59,49,1
65535,940,100,11580,11546,11550,11530,11528,,0,0,30,34,213,64,47,1
65535,940,100,11589,11553,11561,11545,11518,,0,0,28,36,229,64,44,1
65535,940,100,11596,11614,11575,11551,11534,,0,1,18,39,317,57,132,26
65535,940,100,11587,11593,11576,11547,11547,,0,1,6,17,383,23,126,25
65535,940,100,11574,11577,11586,11550,11559,,0,2,9,36,500,45,220,44
65535,940,100,11583,11571,11579,11523,11530,,0,0,4,12,400,16,25,1
65535,940,100,11579,11560,11546,11502,11532,,0,0,33,19,158,52,63,5
65535,940,100,11582,11556,11553,11513,11541,,0,0,29,26,190,55,53,1
65535,940,100,11577,11558,11534,11527,11548,,0,0,43,19,144,62,69,8
65535,940,100,11587,11551,11551,11538,11561,,0,0,36,36,200,72,50,1
65535,940,100,11586,11558,11531,11548,11541,,0,0,55,28,151,83,66,6
65535,940,100,11591,11559,11544,11560,11545,,0,0,47,32,168,79,60,4
65535,940,100,11590,11564,11544,11547,11521,,0,0,46,26,157,72,64,6
65535,940,100,11575,11564,11555,11542,11523,,0,0,20,11,155,31,65,6
65535,940,100,11588,11556,11554,11536,11523,,0,0,34,32,194,66,52,1
65535,940,100,11598,11553,11562,11538,11532,,0,0,36,45,225,81,44,1
65535,940,100,11582,11539,11542,11520,11538,,0,0,40,43,208,83,48,1
65535,940,100,11580,11594,11555,11531,11517,,0,1,14,39,379,53,126,25
65535,940,100,11585,11575,11570,11517,11509,,0,0,15,10,167,25,60,4
65535,940,100,11588,11567,11552,11532,11526,,0,0,36,21,158,57,63,5
65535,940,100,11582,11566,11556,11534,11541,,0,0,26,16,162,42,62,5
65535,940,100,11576,11566,11559,11518,11551,,0,0,17,10,159,27,63,5
65535,940,100,11589,11554,11561,11521,11526,,0,0,28,35,225,63,44,1
65535,940,100,11592,11547,11560,11512,11536,,0,0,32,45,241,77,41,1
65535,940,100,11602,11543,11565,11531,11552,,0,0,37,59,259,96,39,1
65535,940,100,11606,11552,11576,11543,11573,,0,0,30,54,280,84,36,1
65535,940,100,11598,11554,11579,11555,11586,,0,0,19,44,332,63,30,1
65535,940,100,11607,11551,11580,11528,11589,,0,0,27,56,307,83,33,1
65535,940,100,11583,11556,11577,11544,11597,,0,4,53,20,138,73,472,100
65535,940,100,11570,11551,11572,11531,11594,,0,4,63,22,135,85,474,100
65535,940,100,11572,11543,11569,11532,11590,,0,4,58,21,136,79,474,100
65535,940,100,11597,11548,11574,11518,11594,,0,0,23,49,313,72,32,1
65535,940,100,11616,11560,11571,11544,11571,,0,0,45,56,224,101,45,1
65535,940,100,11619,11615,11594,11554,11582,,0,0,25,4,116,29,86,14
65535,940,100,11608,11608,11593,11531,11581,,0,0,15,0,100,15,100,20
65535,940,100,11613,11597,11591,11555,11582,,0,0,22,16,173,38,58,3
65535,940,100,11610,11584,11592,11527,11552,,0,0,18,26,244,44,41,1
65535,940,100,11607,11565,11582,11534,11517,,0,0,25,42,268,67,37,1
65535,940,100,11616,11567,11576,11531,11525,,0,0,40,49,223,89,45,1
65535,940,100,11638,11569,11555,11527,11541,,0,0,83,69,183,152,55,2
65535,940,100,11649,11564,11541,11541,11564,,0,0,108,85,179,193,56,2
65535,940,100,11652,11566,11550,11552,11576,,0,0,102,86,184,188,54,2
65535,940,100,11651,11558,11555,11558,11539,,0,0,96,93,197,189,51,0
65535,940,100,11627,11562,11556,11555,11552,,0,0,71,65,192,136,52,1
65535,940,100,11630,11605,11540,11560,11562,,0,0,90,25,128,115,78,11
65535,940,100,11626,11590,11553,11548,11564,,0,0,73,36,149,109,67,7
65535,940,100,11619,11589,11560,11528,11571,,0,0,59,30,151,89,66,6
65535,940,100,11633,11596,11576,11515,11588,,0,0,57,37,165,94,61,4
65535,940,100,11627,11589,11576,11523,11595,,0,0,51,38,175,89,57,3
65535,940,100,11644,11579,11576,11543,11588,,0,0,68,65,196,133,51,0
65535,940,100,11653,11579,11549,11514,11590,,0,0,104,74,171,178,58,3
65535,940,100,11640,11573,11570,11526,11564,,0,0,70,67,196,137,51,0
65535,940,100,11629,11621,11582,11532,11546,,0,0,47,8,117,55,85,14
65535,940,100,11636,11603,11584,11537,11526,,0,0,52,33,163,85,61,4
65535,940,100,11627,11605,11587,11528,11518,,0,0,40,22,155,62,65,6
65535,940,100,11654,11600,11601,11542,11539,,0,0,53,54,202,107,50,1
65535,940,100,11667,11594,11600,11532,11559,,0,0,67,73,209,140,48,1
65535,940,100,11680,11588,11611,11547,11573,,0,0,69,92,233,161,43,1
65535,940,100,11684,11585,11603,11552,11556,,0,0,81,99,222,180,45,1
65535,940,100,11695,11575,11600,11536,11575,,0,0,95,120,226,215,44,1
65535,940,100,11707,11569,11602,11546,11580,,0,0,105,138,231,243,43,1
65535,940,100,11710,11623,11597,11549,11586,,0,0,113,87,177,200,56,2
65535,940,100,11750,11610,11572,11557,11560,,0,0,178,140,179,318,56,2
65535,940,100,11835,11614,11592,11585,11583,,0,0,243,221,191,464,52,1
65535,940,100,11960,11615,11602,11564,11611,,0,0,358,345,196,703,51,0
1,940,100,12095,11616,11620,11552,11622,,1,0,475,479,201,954,50,1
1,940,100,12191,11610,11619,11541,11589,,1,0,572,581,202,1153,50,1
1,940,100,12297,11609,11616,11564,11597,,1,0,681,688,201,1369,50,1
1,940,100,12358,11605,11631,11549,11598,,1,0,727,753,204,1480,49,1
1,940,100,12404,11607,11637,11561,11618,,1,0,767,797,204,1564,49,1
1,940,100,12447,11604,11641,11553,11609,,1,0,806,843,205,1649,49,1
1,940,100,12461,11616,11647,11584,11626,,1,0,814,845,204,1659,49,1
1,940,100,12488,11613,11662,11598,11612,,1,0,826,875,206,1701,49,1
1,940,100,12499,11622,11659,11568,11619,,1,0,840,877,204,1717,49,1
1,940,100,12528,11619,11624,11590,11630,,1,0,904,909,201,1813,50,1
1,940,100,12539,11610,11605,11588,11626,,1,0,934,929,199,1863,50,1
1,940,100,12563,11612,11621,11577,11585,,1,0,942,951,201,1893,50,1
1,940,100,12587,11610,11633,11591,11597,,1,0,954,977,202,1931,50,1
1,940,100,12593,11609,11618,11591,11617,,1,0,975,984,201,1959,50,1
1,940,100,12604,11621,11640,11612,11603,,1,0,964,983,202,1947,50,1
1,940,100,12631,11632,11653,11619,11589,,1,0,978,999,202,1977,50,1
1,940,100,12632,11623,11646,11620,11605,,1,0,986,1009,202,1995,50,1
1,940,100,12652,11607,11609,11623,11587,,1,0,1043,1045,200,2088,50,1
1,940,100,12657,11603,11611,11592,11583,,1,0,1046,1054,201,2100,50,1
1,940,100,12679,11602,11590,11604,11596,,1,0,1089,1077,199,2166,50,1
1,940,100,12708,11612,11607,11616,11609,,1,0,1101,1096,200,2197,50,1
1,940,100,12732,11616,11621,11633,11627,,1,0,1111,1116,200,2227,50,1
1,940,100,12740,11622,11643,11642,11628,,1,0,1097,1118,202,2215,50,1
1,940,100,12763,11618,11641,11637,11623,,1,0,1122,1145,202,2267,50,1
1,940,100,12784,11613,11634,11624,11612,,1,0,1150,1171,202,2321,50,1
1,940,100,12797,11656,11631,11616,11608,,1,0,1166,1141,198,2307,51,0
1,940,100,12800,11640,11628,11609,11606,,1,0,1172,1160,199,2332,50,1
1,940,100,12831,11629,11634,11564,11626,,1,0,1197,1202,200,2399,50,1
1,940,100,12832,11634,11635,11575,11638,,1,0,1197,1198,200,2395,50,1
1,940,100,12848,11638,11611,11580,11627,,1,0,1237,1210,198,2447,51,0
1,940,100,12852,11624,11618,11578,11625,,1,0,1234,1228,200,2462,50,1
1,940,100,12857,11633,11620,11583,11630,,1,0,1237,1224,199,2461,50,1
0,940,100,12861,11628,11587,11569,11629,,1,0,1274,1233,197,2507,51,0
1,940,100,12865,11616,11596,11544,11626,,1,0,1269,1249,198,2518,51,0
1,940,100,12897,11609,11600,11561,11597,,1,0,1297,1288,199,2585,50,1
1,940,100,12913,11611,11620,11569,11618,,1,0,1293,1302,201,2595,50,1
1,940,100,12948,11617,11637,11593,11625,,1,0,1311,1331,202,2642,50,1
1,940,100,12962,11624,11624,11591,11622,,1,0,1338,1338,200,2676,50,1
1,940,100,12970,11634,11634,11596,11621,,1,0,1336,1336,200,2672,50,1
1,940,100,12974,11631,11636,11579,11619,,1,0,1338,1343,200,2681,50,1
1,940,100,12991,11627,11632,11547,11620,,1,0,1359,1364,200,2723,50,1
