2025-05-27T13:07:56
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,940,100,11557,11527,11565,11709,11643
65535,940,100,11569,11512,11525,11667,11638
65535,940,100,11552,11508,11563,11659,11619
65535,940,100,11545,11502,11546,11674,11660
65535,940,100,11570,11514,11558,11628,11632
65535,940,100,11564,11518,11559,11686,11652
65535,940,100,11558,11517,11548,11693,11676
65535,940,100,11555,11510,11556,11657,11643
65535,940,100,11566,11565,11514,11686,11658
65535,940,100,11567,11519,11563,11677,11676
65535,940,100,11544,11516,11565,11689,11653
65535,940,100,11577,11499,11557,11676,11694
65535,940,100,11557,11516,11535,11669,11675
65535,940,100,11568,11506,11481,11673,11674
65535,940,100,11600,11504,11536,11673,11640
65535,940,100,11549,11512,11513,11670,11649
65535,940,100,11575,11510,11539,11675,11644
65535,940,100,11584,11527,11541,11708,11694
65535,940,100,11563,11517,11567,11693,11668
65535,940,100,11605,11515,11571,11670,11661
65535,940,100,11610,11518,11568,11669,11602
65535,940,100,11604,11517,11571,11666,11621
65535,940,100,11569,11566,11562,11667,11664
65535,940,100,11571,11523,11511,11676,11664
65535,940,100,11586,11522,11521,11680,11669
65535,940,100,11591,11502,11540,11665,11663
65535,940,100,11595,11509,11512,11658,11681
65535,940,100,11597,11520,11558,11651,11700
65535,940,100,11616,11513,11544,11659,11670
65535,940,100,11603,11531,11548,11703,11644
65535,940,100,11643,11510,11555,11675,11639
65535,940,100,11644,11524,11525,11650,11663
65535,940,100,11663,11526,11553,11697,11695
65535,940,100,11664,11535,11567,11681,11655
65535,940,100,11686,11523,11559,11686,11669
65535,940,100,11671,11533,11575,11713,11701
65535,940,100,11716,11539,11582,11708,11673
65535,940,100,11754,11540,11579,11703,11649
65535,940,100,11773,11526,11554,11675,11688
0,940,100,12687,11643,11605,11711,11705
1,940,100,12848,11595,11626,11728,11724
1,940,100,12860,11627,11600,11729,11708
1,940,100,12911,11609,11617,11772,11742
1,940,100,12949,11584,11583,11735,11732
1,940,100,13023,11630,11601,11710,11713
1,940,100,13054,11588,11594,11728,11706
1,940,100,13106,11607,11594,11740,11714
1,940,100,13134,11600,11607,11760,11737
1,940,100,13193,11610,11642,11743,11715
1,940,100,13261,11646,11631,11730,11716
0,940,100,13300,11646,11580,11753,11742
0,940,100,13350,11676,11610,11741,11692
0,940,100,13341,11709,11635,11764,11733
0,940,100,13282,11755,11633,11745,11701
0,940,100,13262,11784,11627,11733,11743
1,940,100,13214,11848,11620,11741,11711
1,940,100,13182,11886,11613,11747,11727
2,940,100,13130,11956,11614,11770,11726
3,940,100,13051,12073,11643,11748,11730
4,940,100,12918,12123,11659,11710,11734
5,940,100,12863,12193,11649,11739,11717
65535,940,100,12539,12523,11677,11798,11755
